time_steps,win_rate,episode_rewards
0,0.0,0.0
5018,0.0,1.9828767123287674
10019,0.0625,5.698630136986302
15016,0.0,4.837328767123286
20004,0.125,8.320205479452056
25017,0.1875,8.722602739726026
30013,0.25,10.352739726027394
35000,0.125,8.513698630136986
40015,0.5,13.522260273972602
45003,0.4375,12.78253424657534
50017,0.46875,13.474315068493151
55010,0.6875,16.215753424657535
60008,0.46875,13.41095890410959
65014,0.59375,14.883561643835616
70014,0.5625,14.393835616438356
75019,0.5,13.938356164383562
80016,0.59375,14.892123287671232
85004,0.75,16.91609589041096
90026,0.6875,15.946917808219176
95021,0.71875,16.573630136986303
100002,0.65625,15.840753424657535
105010,0.625,15.268835616438356
110012,0.65625,15.72602739726027
115015,0.84375,18.061643835616437
120014,0.84375,18.125
125007,0.78125,17.34417808219178
130001,0.90625,18.811643835616437
135020,0.875,18.51027397260274
140007,0.90625,18.772260273972602
145018,0.9375,19.15753424657534
150000,0.875,18.46917808219178
155011,0.90625,18.85445205479452
160002,0.9375,19.23972602739726
165018,0.9375,19.184931506849317
170008,0.78125,17.261986301369863
175010,0.90625,18.89554794520548
180010,0.90625,18.813356164383563
185011,0.84375,17.94691780821918
190002,0.8125,17.64554794520548
195007,0.84375,18.10445205479452
200009,0.9375,19.25
