training_step,avg_loss
100,0.03778988126665354
200,0.0187228568084538
300,0.0329549010284245
400,0.02384869184345007
500,0.031788888312876226
600,0.027963084001094103
700,0.0322617244720459
800,0.028137609772384168
900,0.037186115570366385
1000,0.03405189206823707
1100,0.04664586866274476
1200,0.043974940478801725
1300,0.0543801599740982
1400,0.052005065754055974
1500,0.05887880157679319
1600,0.0643305953219533
1700,0.07676810592412948
1800,0.07139318495988846
1900,0.123020189255476
2000,0.14987236846238375
2100,0.209010454043746
2200,0.22589631341397762
2300,0.28162644304335116
2400,0.3101703153550625
2500,0.32938243880867957
2600,0.34929846711456775
2700,0.33887949123978617
2800,0.34920417197048664
2900,0.3169473334401846
3000,0.32874639585614207
3100,0.35602224357426165
3200,0.3272472830116749
3300,0.3795130030810833
3400,0.3563399289548397
3500,0.42988053485751154
3600,0.4349112182855606
3700,0.43459005892276764
3800,0.4202593080699444
3900,0.4726923978328705
4000,0.4481679205596447
4100,0.4879795007407665
4200,0.4716382697224617
4300,0.5888998800516129
4400,0.5269397011399269
4500,0.6368157586455345
4600,0.5920308274030686
4700,0.6751373153924942
4800,0.669691299200058
4900,0.7207404690980911
5000,0.7042288762331009
5100,0.7522685238718987
5200,0.7251700946688652
5300,0.8860032650828361
5400,0.8563626199960709
5500,0.8652073222398758
5600,0.8872729855775833
5700,0.9432986235618591
5800,0.9543050652742386
5900,0.9573550748825074
6000,0.9242191636562347
6100,0.9975618678331375
6200,0.9590469408035278
6300,0.9567418342828751
6400,0.943772389292717
6500,0.8733141553401947
6600,0.8996303027868271
6700,0.9518632054328918
6800,0.9054972612857819
6900,0.9642954397201539
7000,0.9580005741119385
7100,0.9332562375068665
7200,0.9355606949329376
7300,0.9187712067365646
7400,0.9062664186954499
7500,0.9284629398584365
7600,0.9210883641242981
7700,0.9158239233493805
7800,0.9249499094486237
7900,0.903603281378746
8000,0.8934330379962921
8100,0.9548240703344345
8200,0.9315711432695388
8300,1.0175091135501861
8400,1.0022530710697175
8500,1.003412202000618
